pattern,direction,neckline,span,symbol,triggered,date
inverse_head_shoulders,bull,1562.800048828125,"(Timestamp('2025-06-04 00:00:00'), Timestamp('2025-06-05 00:00:00'))",TECHM.NS,False,2025-07-11
head_shoulders,bear,1692.0,"(Timestamp('2025-06-23 00:00:00'), Timestamp('2025-06-26 00:00:00'))",TECHM.NS,False,2025-07-11
inverse_head_shoulders,bull,,"(Timestamp('2025-06-17 00:00:00'), Timestamp('2025-06-16 00:00:00'))",TITAN.NS,False,2025-07-11
head_shoulders,bear,3712.89990234375,"(Timestamp('2025-07-01 00:00:00'), Timestamp('2025-07-03 00:00:00'))",TITAN.NS,False,2025-07-11
inverse_head_shoulders,bull,5679.5,"(Timestamp('2025-06-16 00:00:00'), Timestamp('2025-06-17 00:00:00'))",TRENT.NS,False,2025-07-11
head_shoulders,bear,6226.5,"(Timestamp('2025-07-01 00:00:00'), Timestamp('2025-07-03 00:00:00'))",TRENT.NS,False,2025-07-11
inverse_head_shoulders,bull,11159.0,"(Timestamp('2025-06-04 00:00:00'), Timestamp('2025-06-05 00:00:00'))",ULTRACEMCO.NS,True,2025-07-11
head_shoulders,bear,11910.0,"(Timestamp('2025-05-20 00:00:00'), Timestamp('2025-05-21 00:00:00'))",ULTRACEMCO.NS,False,2025-07-11
double_bottom,bull,209.3249969482422,"(Timestamp('2023-08-03 00:00:00'), Timestamp('2023-08-25 00:00:00'))",WIPRO.NS,True,2025-07-11
inverse_head_shoulders,bull,269.4100036621094,"(Timestamp('2025-06-06 00:00:00'), Timestamp('2025-07-01 00:00:00'))",WIPRO.NS,True,2025-07-11
head_shoulders,bear,269.9599914550781,"(Timestamp('2025-06-25 00:00:00'), Timestamp('2025-06-26 00:00:00'))",WIPRO.NS,False,2025-07-11
